X,Y,OBJECTID,GLOBALID,TRCMID,ASSETID,TRCM_CAT,ASSETCODE,OWNER,LOCGEN,INSTYR,MAT,ASSETDESC,ASSETSTAT,LOCATION,MAINTBY,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.565861125,44.6726647520001,580,{F7F86224-E504-470F-9770-C7F4C9872BA0},TRCLM1416,TRCLM1416,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,DAHLIA ST,HRM,2023/01/13 21:42:25+00,2023/01/13 21:42:25+00,,,
-63.643323552,44.6612643770001,584,{A95243B4-F8F9-4655-AA64-DEF6507AE23C},TRCLM271,TRCLM271,VERTI,SPDHMP,HRM,ROW,2022,ASPH,,INS,PLATEAU CRES,HRM,2021/10/27 14:38:33+00,2022/07/06 19:54:52+00,2022/04/14 03:00:00+00,Traffic Management,
-63.7098330009999,44.791801422,587,{3D087DFF-C179-445F-A158-357202C67237},TRCLM690,TRCLM690,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,RAFTING DR,HRM,2021/11/19 22:08:48+00,2022/09/29 21:22:07+00,2022/04/14 03:00:00+00,Traffic Management,
-63.505113281,44.6629134570001,588,{8D2363B2-B336-4D3F-9669-2BC2325271FE},TRCLM197,TRCLM197,HORIZ,BMPOUT,HRM,ROW,2021,CONC,,INS,PORTLAND HILLS DR,HRM,2021/10/07 15:57:03+00,2021/10/07 15:57:03+00,,Traffic Management,
-63.5676937759999,44.6724174890001,589,{522217CA-891F-44A5-8585-FE9838C547F6},TRCLM401,TRCLM401,HORIZ,BMPOUT,HRM,ROW,2021,CONC,,INS,MAPLE ST,HRM,2021/11/15 19:39:03+00,2021/11/15 19:39:48+00,2021/11/15 04:00:00+00,Traffic Management,
-63.6777318599999,44.8093908450001,590,{BBBF9D3F-22E0-4D4A-BBF9-AABD4BB84E67},TRCLM838,TRCLM838,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,MONARCH DR,HRM,2021/12/01 17:34:04+00,2022/07/06 19:44:09+00,2021/12/01 04:00:00+00,Traffic Management,
-63.733214178,44.81328389,591,{02E3E477-8AED-4065-9B91-95116D91CF9F},TRCLM445,TRCLM445,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,SPRINGFIELD LAKE RD,HRM,2021/11/15 22:18:24+00,2021/11/15 22:19:07+00,2021/11/15 04:00:00+00,Traffic Management,
-63.48893536,44.6616349610001,596,{221C5855-5BA0-4505-AA62-9C01C351C7C0},TRCLM612,TRCLM612,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,FLAGSTONE DR,HRM,2021/11/18 22:53:06+00,2021/11/19 00:05:43+00,2021/11/18 04:00:00+00,Traffic Management,
-63.7333509709999,44.811270714,598,{FC15A7D0-D68E-4F89-8490-DB04C752D5B9},TRCLM444,TRCLM444,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,SPRINGFIELD LAKE RD,HRM,2021/11/15 22:17:08+00,2021/11/15 22:17:54+00,2021/11/15 04:00:00+00,Traffic Management,
-63.774308928,44.7730550470001,599,{E9D9BBCB-DF2B-4367-B555-FBAE9EC3FF0C},TRCLM481,TRCLM481,VERTI,SPDTBL,HRM,ROW,2020,ASPH,,INS,WHITE HILLS RUN,HRM,2021/11/16 16:45:39+00,2021/11/16 16:46:13+00,2021/11/16 04:00:00+00,Traffic Management,
-63.607774208,44.653673073,600,{E8490D53-A6D9-47C1-BE76-1A0E4D11AD80},TRCLM1077,TRCLM1077,VERTI,SPDTBL,HRM,ROW,2022,ASPH,AT Project,INS,Liverpool Street,HRM,2022/04/12 15:10:23+00,2022/12/14 23:35:44+00,,,
-63.610817315,44.639731458,601,{ECA918EE-D005-4F74-8738-E1F5193DB0F7},TRCLM7,TRCLM7,VERTI,SPDHMP,HRM,ROW,,ASPH,,INS,ARMVIEW AVE,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:26+00,,Traffic Management,
-63.636807054,44.806397492,604,{520832CA-24CF-42EF-AE34-A6C74E9B878B},TRCLM928,TRCLM928,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,RICHARDSON DR,HRM,2021/12/16 23:24:14+00,2022/07/06 19:42:24+00,2021/12/16 04:00:00+00,Traffic Management,
-63.72480409,44.7123249740001,605,{E339B43A-C6D5-42BA-9B67-5CA88D340B89},TRCLM165,TRCLM165,VERTI,SPDTBL,HRM,ROW,2020,ASPH,,INS,BLUE MOUNTAIN DR,HRM,2021/10/07 15:57:03+00,2021/11/16 17:15:44+00,,Traffic Management,
-63.608569957,44.663843608,606,{4D00E76E-4AD1-4858-8E66-7A9FFD60DFA6},TRCLM961,TRCLM961,VERTI,SPDCSH,HRM,ROW,2022,ASPH,,INS,ROBIE ST,HRM,2022/02/03 22:18:13+00,2022/10/26 21:44:55+00,2022/06/22 03:00:00+00,Traffic Management,
-63.7380673659999,44.7158234730001,607,{D4A09D85-AAA3-4C59-8FAB-912DA072364D},TRCLM153,TRCLM153,VERTI,SPDHMP,HRM,ROW,2019,ASPH,,INS,KINGSWOOD DR,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:25+00,,Traffic Management,
-63.61748532,44.665967461,612,{5CDFE604-0528-46F9-8A1D-DD6A6EB8DF7F},TRCLM85,TRCLM85,VERTI,SPDHMP,HRM,ROW,2018,ASPH,,INS,MEMORIAL DR,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:26+00,,Traffic Management,
-63.6262799309999,44.6330586730001,617,{55ACE61C-CD59-4DFB-B5E8-717C4B77F23C},TRCLM908,TRCLM908,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,OSBORNE ST,HRM,2021/12/15 18:46:47+00,2021/12/15 18:47:14+00,2021/12/15 04:00:00+00,Traffic Management,
-63.7481542519999,44.783536709,620,{20E407C6-3006-4AB9-A97C-2F936CD8328E},TRCLM917,TRCLM917,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,MAGENTA DR,HRM,2021/12/16 18:19:42+00,2022/07/06 19:16:18+00,2021/12/16 04:00:00+00,Traffic Management,
-63.576427725,44.6762567120001,621,{CD31EB39-9F94-4548-ABE0-ACF3960E4BA8},TRCLM967,TRCLM967,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,SLAYTER ST,HRM,2022/02/17 21:28:41+00,2023/01/10 22:32:41+00,,,
-63.787987387,44.759529479,622,{081F5C11-9B48-4483-8C17-28AC9FA4F85E},TRCLM63,TRCLM63,VERTI,SPDHMP,HRM,ROW,2018,ASPH,,INS,NORMAN BLVD,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:26+00,,Traffic Management,
-63.489705038,44.6677959250001,624,{9F601B44-3EBA-47C4-B413-EB021EA27494},TRCLM585,TRCLM585,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,COLBY DR,HRM,2021/11/18 18:48:40+00,2022/12/14 18:53:27+00,2022/06/03 03:00:00+00,Traffic Management,
-63.479274591,44.6746097180001,625,{A44B11D9-FEA4-4F52-AA47-06B4D6BCD0FA},TRCLM784,TRCLM784,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,JOHN STEWART DR,HRM,2021/11/22 18:02:01+00,2022/12/14 18:51:29+00,2022/06/03 03:00:00+00,Traffic Management,
-63.648170331,44.6734504630001,627,{C3BC4BBB-EB11-407E-9B38-65240344693A},TRCLM31,TRCLM31,VERTI,SPDHMP,HRM,ROW,,ASPH,,INS,SKYLARK ST,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:26+00,,Traffic Management,
-63.614468132,44.625059116,629,{145A6C8E-2811-4677-8281-952725ED0BE0},TRCLM343,TRCLM343,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,TOWERVIEW DR,HRM,2021/10/27 14:38:33+00,2022/09/29 20:51:24+00,2022/04/19 03:00:00+00,Traffic Management,
-63.491196164,44.667175038,630,{733F69F0-F56A-4FF3-B86A-F97BB839B858},TRCLM1154,TRCLM1154,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,COLBY DR,HRM,2022/07/16 20:38:20+00,2022/12/14 18:55:01+00,2022/07/16 03:00:00+00,contract,IN
-63.6823823559999,44.828614487,631,{A7C92E13-305D-429A-ADA4-F9D3012ADFA3},TRCLM228,TRCLM228,VERTI,SPDTBL,HRM,ROW,2020,ASPH,,INS,DANNY DR,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:25+00,,Traffic Management,
-63.610624214,44.6695456950001,633,{9541D922-1DD9-49BC-A98A-EEF71BA93D0F},TRCLM1090,TRCLM1090,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,LEAMAN ST,HRM,2022/06/16 14:36:22+00,2022/06/16 14:39:20+00,2022/06/16 23:00:00+00,Traffic Management,PH
-63.612431379,44.6685371030001,636,{4063B54E-3BC7-44BA-BF50-6A1E39506741},TRCLM259,TRCLM259,VERTI,SPDHMP,HRM,ROW,2022,ASPH,,INS,HIGHLAND AVE,HRM,2021/10/27 14:38:33+00,2022/09/29 21:36:39+00,2022/04/14 03:00:00+00,Traffic Management,
-63.598825312,44.647490458,638,{975CE06F-F88D-4D16-9CD4-FAC05C78F450},TRCLM113,TRCLM113,VERTI,SPDHMP,HRM,ROW,2019,ASPH,,INS,ALLAN ST,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:26+00,,Traffic Management,
-63.686340377,44.760282858,641,{1C8743F1-9654-4799-A202-E0B50625DC3C},TRCLM846,TRCLM846,VERTI,SPDTBL,HRM,ROW,2023,ASPH,,INS,WALKER SERVICE RD,HRM,2021/12/06 15:48:41+00,2023/10/13 16:39:56+00,2022/07/22 17:26:59+00,Traffic Management,
-63.679428356,44.8333264870001,642,{B44A1597-DF16-4A72-A0F1-21EF0F789AE4},TRCLM157,TRCLM157,VERTI,SPDHMP,HRM,ROW,2019,ASPH,,INS,TRINITY LN,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:25+00,,Traffic Management,
-63.6788920339999,44.6089161570001,643,{1BD0F19F-CBEA-466F-BBFB-E64288E8F98F},TRCLM294,TRCLM294,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,EVERGREEN PL,HRM,2021/10/27 14:38:33+00,2021/11/23 18:15:49+00,2021/11/23 04:00:00+00,Traffic Management,
-63.587317389,44.6535870660001,644,{FA701DB0-A240-45C4-A3A8-BF585ACB7173},TRCLM1315,TRCLM1315,VERTI,SPDTBL,HRM,ROW,2022,ASPH,AT Bikeway Project,INS,CREIGHTON ST,HRM,2022/08/09 19:07:00+00,2022/12/14 23:34:05+00,2022/08/09 03:00:00+00,Traffic Management,
-63.670857312,44.7314424140001,646,{EA08533D-714F-4992-9BAC-409C4B94F17F},TRCLM397,TRCLM397,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,RUTLEDGE ST,HRM,2021/11/15 19:18:19+00,2021/12/06 22:02:34+00,2021/11/15 04:00:00+00,Traffic Management,
-63.5592562639999,44.6702957570001,648,{BC6496F6-4F71-442A-B402-6F12A9B0B327},TRCLM569,TRCLM569,VERTI,SPDHMP,HRM,ROW,2021,ASPH,,INS,HAWTHORNE ST,HRM,2021/11/18 17:35:29+00,2021/11/18 17:36:00+00,2021/11/18 04:00:00+00,Traffic Management,
-63.589760323,44.680485859,651,{8444BF57-69E0-48B7-814D-BDD9D6500F0D},TRCLM263,TRCLM263,VERTI,SPDHMP,HRM,ROW,2022,ASPH,,INS,ALFRED ST,HRM,2021/10/27 14:38:33+00,2022/09/29 21:41:58+00,2022/04/14 03:00:00+00,Traffic Management,
-63.59279551,44.639647374,653,{254E25CF-5BB9-45B8-97EF-94FD96DD1C79},TRCLM549,TRCLM549,VERTI,SPDHMP,HRM,ROW,2021,ASPH,,INS,WALNUT ST,HRM,2021/11/17 23:03:01+00,2021/11/17 23:03:34+00,2021/11/17 04:00:00+00,Traffic Management,
